Status ,Message Execution ,DateTime Initial Execution ,Time Final Execution 
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 12:41:25', '12:41:58'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 12:42:01', '12:43:45'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 12:46:31', '12:46:57'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 13:05:34', '13:06:41'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 13:08:17', '13:15:37'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 13:20:48', '13:21:09'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 13:24:52', '13:28:25'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 13:30:29', '13:30:33'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 13:58:02', '13:58:46'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 13:58:01', '13:58:51'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:01:59', '14:02:58'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:02:07', '14:03:54'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:02:12', '14:04:00'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:02:24', '14:04:03'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:02:29', '14:04:12'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:02:51', '14:04:13'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:06:10', '14:06:10'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:10:04', '14:10:04'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:10:51', '14:10:51'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:37:59', '14:38:48'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:43:12', '14:44:04'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:44:16', '14:44:16'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 14:44:59', '14:45:44'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:49:15', '14:49:15'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 14:49:56', '14:49:56'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:46:14', '15:47:07'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:51:39', '15:52:33'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:53:10', '15:53:58'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 15:57:18', '15:57:26'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 15:57:15', '15:57:28'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:57:27', '15:58:39'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:57:16', '15:58:54'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:57:20', '15:59:04'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 15:57:22', '15:59:12'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:15', '16:06:13'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:02:06', '16:06:17'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:20', '16:06:20'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:14', '16:06:25'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:51', '16:06:25'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:02:35', '16:06:26'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:40', '16:06:26'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:17', '16:06:28'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:47', '16:06:30'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:02:21', '16:06:35'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '25/01/2023: 16:01:31', '16:06:37'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 16:10:34', '16:10:47'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:17', '20:24:19'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:24', '20:24:25'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:27', '20:24:28'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:32', '20:24:33'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:22', '20:24:34'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:37', '20:24:37'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:38', '20:24:39'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:01', '20:25:09'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:23:08', '20:25:09'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:24:07', '20:25:10'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:22:41', '20:25:10'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:22:35', '20:25:10'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:23:55', '20:25:16'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:22:37', '20'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:22:54', '20:25:16'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:23:19', '20:25:16'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:23:39', '20:25:16'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '25/01/2023: 20:23:11', '20:25:30'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:32:36', '20:32:52'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:32:22', '20:32:55'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:32:19', '20:32:55'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:32:17', '20:32:55'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '25/01/2023: 20:32:18', '20:32:55'
